max_length,chunk_long,agg,batch_size,decision_mode,top_p_threshold,ovr_threshold,collapse_neutral,acc_3class_filtered,macro_f1_3class_filtered,kept_fraction,pred_label_distribution
128,1,max,32,top_p,0.0,,1,0.746,0.5328029735547064,1.0,
128,1,mean,16,argmax,0.0,,1,0.744,0.5311763871150844,1.0,
128,1,mean,16,top_p,0.0,,1,0.744,0.5311763871150844,1.0,
128,1,mean,32,argmax,0.0,,1,0.744,0.5311763871150844,1.0,
128,1,mean,32,top_p,0.0,,1,0.744,0.5311763871150844,1.0,
256,1,mean,16,argmax,0.0,,1,0.74,0.5288011668213589,1.0,
256,1,mean,16,top_p,0.0,,1,0.74,0.5288011668213589,1.0,
256,1,mean,32,argmax,0.0,,1,0.74,0.5288011668213589,1.0,
256,1,mean,32,top_p,0.0,,1,0.74,0.5288011668213589,1.0,
256,1,max,16,argmax,0.0,,1,0.74,0.5288011668213589,1.0,
256,1,max,16,top_p,0.0,,1,0.74,0.5288011668213589,1.0,
256,1,max,32,argmax,0.0,,1,0.74,0.5288011668213589,1.0,
256,1,max,32,top_p,0.0,,1,0.74,0.5288011668213589,1.0,
384,1,mean,16,argmax,0.0,,1,0.728,0.5200215937719016,1.0,
384,1,mean,16,top_p,0.0,,1,0.728,0.5200215937719016,1.0,
384,1,mean,32,argmax,0.0,,1,0.728,0.5200215937719016,1.0,
384,1,mean,32,top_p,0.0,,1,0.728,0.5200215937719016,1.0,
384,1,max,16,argmax,0.0,,1,0.728,0.5200215937719016,1.0,
384,1,max,16,top_p,0.0,,1,0.728,0.5200215937719016,1.0,
384,1,max,32,argmax,0.0,,1,0.728,0.5200215937719016,1.0,
384,1,max,32,top_p,0.0,,1,0.728,0.5200215937719016,1.0,
384,0,mean,16,argmax,0.0,,1,0.724,0.5170096359540352,1.0,
384,0,mean,16,top_p,0.0,,1,0.724,0.5170096359540352,1.0,
384,0,mean,32,argmax,0.0,,1,0.724,0.5170096359540352,1.0,
384,0,mean,32,top_p,0.0,,1,0.724,0.5170096359540352,1.0,
256,0,mean,16,argmax,0.0,,1,0.722,0.5156520505179509,1.0,
256,0,mean,16,top_p,0.0,,1,0.722,0.5156520505179509,1.0,
256,0,mean,32,argmax,0.0,,1,0.722,0.5156520505179509,1.0,
256,0,mean,32,top_p,0.0,,1,0.722,0.5156520505179509,1.0,
128,0,mean,16,argmax,0.0,,1,0.718,0.5125989102108505,1.0,
128,0,mean,16,top_p,0.0,,1,0.718,0.5125989102108505,1.0,
128,0,mean,32,argmax,0.0,,1,0.718,0.5125989102108505,1.0,
128,0,mean,32,top_p,0.0,,1,0.718,0.5125989102108505,1.0,
